Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
12,"R Diogo, JL Molnar, TD Smith","The Anatomy and Ontogeny of the Head, Neck, Pectoral, and Upper Limb Muscles of Lemur catta and Propithecus coquereli (Primates): Discussion on the …",2014,"The Anatomical Record","Wiley Online Library","https://anatomypubs.onlinelibrary.wiley.com/doi/abs/10.1002/ar.22931","https://scholar.google.com/scholar?cites=17711149968846075817&as_sdt=2005&sciodt=0,5&hl=en",11,"2022-06-03 12:54:03","","10.1002/ar.22931","","",,,,,12,1.50,4,3,8,"… Herein, we present the first detailed description of the head, neck, pectoral, and upper limb muscles of the fetal lemuriforms Lemur catta (Lemuridae) and Propithecus coquereli (…","https://www.academia.edu/download/50545421/PCA15_Lemur_Propithecus_Fetuses.pdf","https://scholar.google.com/scholar?q=related:qbe9GA-lyvUJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
2,"C Chell, ME Corral, I Grant, CJ Laskai, H Gough, ...","A brief observation of endangered Coquerel's sifaka (Propithecus coquereli) feeding on red mangrove (Rhizophora mucronata) vegetation in a mangrove environment …",2020,"","Springer","https://link.springer.com/article/10.1007/s10764-020-00171-6","https://scholar.google.com/scholar?cites=1427924131900593561&as_sdt=2005&sciodt=0,5&hl=en",12,"2022-06-03 12:54:03","","10.1007/s10764-020-00171-6","","",,,,,2,1.00,0,6,2,"… On July 11, we observed three groups of Propithecus coquereli at high tide, at 15:04, 15:33, and 15:49 h. Observation ID1 was a group of one female, two sex unknown, 5 m from the …","https://discovery.ucl.ac.uk/id/eprint/10105264/1/Chell%20et%20al%202020.%20RPS%20UCL.pdf","https://scholar.google.com/scholar?q=related:mZUkuG4B0RMJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
1,"ML Ramilison, B Andriatsitohaina, ...","Distribution of the critically endangered Coquerel's sifaka (Propithecus coquereli) across a fragmented landscape in NW Madagascar",2021,"African Journal of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/aje.12844","https://scholar.google.com/scholar?cites=10962529663326655229&as_sdt=2005&sciodt=0,5&hl=en",13,"2022-06-03 12:54:03","","10.1111/aje.12844","","",,,,,1,1.00,0,3,1,"… Nous avons étudié la présence du sifaka de Coquerel (Propithecus coquereli), espèce gravement menacée, au sein d’un environnement modifié par des actions anthropiques : la …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/aje.12844","https://scholar.google.com/scholar?q=related:_ZJElqW6IpgJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
5,"K Cassady, JM Cullen, CV Williams","Mortality in coquerel's sifakas (propithecus coquereli) under human care: a retrospective survey from the duke lemur center 1990–2015",2018,"Journal of Zoo and Wildlife Medicine","BioOne","https://bioone.org/journals/Journal-of-Zoo-and-Wildlife-Medicine/volume-49/issue-2/2017-0242.1/MORTALITY-IN-COQUERELS-SIFAKAS-iPROPITHECUS-COQUERELI-i-UNDER-HUMAN-CARE/10.1638/2017-0242.1.short","https://scholar.google.com/scholar?cites=11475613642092842357&as_sdt=2005&sciodt=0,5&hl=en",14,"2022-06-03 12:54:03","","10.1638/2017-0242.1.short","","",,,,,5,1.25,2,3,4,"… Coquerel’s sifakas (Propithecus coquereli) are a medium-bodied … Propithecus coquereli and Propithecus coronatus (crowned sifaka) are the only members of the genus Propithecus …","https://emc.ncsu.edu/files/2018/09/coquerells-sifaka-mortality-2018.pdf","https://scholar.google.com/scholar?q=related:dQ2SnM6RQZ8J:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
99,"JL Campbell, JH Eisemann, ...","Description of the gastrointestinal tract of five lemur species: Propithecus tattersalli, Propithecus verreauxi coquereli, Varecia variegata, Hapalemur griseus, and Lemur …",2000,"American Journal of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/1098-2345%28200011%2952%3A3%3C133%3A%3AAID-AJP2%3E3.0.CO%3B2-%23","https://scholar.google.com/scholar?cites=3266425872899131411&as_sdt=2005&sciodt=0,5&hl=en",15,"2022-06-03 12:54:03","","10.1002/1098-2345%28200011%2952%3A3%3C133%3A%3AAID-AJP2%3E3.0.CO%3B2-%23","","",,,,,99,4.50,33,3,22,"The objective of this project was to better define the similarities and differences in gastrointestinal morphology present in lemur species. Measurements of the gastrointestinal tract of …","","https://scholar.google.com/scholar?q=related:E0hMbwatVC0J:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
4,"AC Ross","Maternal Effort, Food Quality, and Cortisol Variation during Lactation in Propithecus Coquereli in Northwestern Madagascar",2017,"","search.proquest.com","https://search.proquest.com/openview/c31431c353c4f9ab86c2d297ef7f532d/1?pq-origsite=gscholar&cbl=18750","https://scholar.google.com/scholar?cites=5944169077023562525&as_sdt=2005&sciodt=0,5&hl=en",16,"2022-06-03 12:54:03","","","","",,,,,4,0.80,4,1,5,"… I evaluated maternal behavioral care-giving effort towards infants over 26 postnatal weeks in Coquerel’s sifaka (Propithecus coquereli)(n= 10 infants, n= 10 lactating females). Secondly, …","https://www.researchgate.net/profile/Abigail-Ross/publication/339540724_Maternal_Effort_Food_Quality_and_Cortisol_Variation_During_Lactation_in_Propithecus_coquereli_in_Northwestern_Madagascar/links/5e58241192851cefa1c9e484/Maternal-Effort-Food-Quality-and-Cortisol-Variation-During-Lactation-in-Propithecus-coquereli-in-Northwestern-Madagascar.pdf","https://scholar.google.com/scholar?q=related:HdvZMEjufVIJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
4,"K Phair, RS Larsen, R Wack","Dermatophytosis (Trichophyton mentagrophytes) in a Coquerel's Sifaka (Propithecus coquereli)",2011,"Journal of Zoo and Wildlife Medicine","BioOne","https://bioone.org/journals/Journal-of-Zoo-and-Wildlife-Medicine/volume-42/issue-4/2011-0033.1/Dermatophytosis-Trichophyton-mentagrophytes-in-a-Coquerels-Sifaka-Propithecus-coquereli/10.1638/2011-0033.1.short","https://scholar.google.com/scholar?cites=14080030354037426778&as_sdt=2005&sciodt=0,5&hl=en",17,"2022-06-03 12:54:03","","10.1638/2011-0033.1.short","","",,,,,4,0.36,1,3,11,"A 19-yr-old intact male Coquerel's sifaka (Propithecus coquereli) was evaluated for a crusting facial dermatopathy. Fungal culture and histopathology of skin biopsies were consistent …","","https://scholar.google.com/scholar?q=related:Wkoe_wFRZsMJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
5,"AC Ross, SM Lehman","Infant transport and mother–infant contact from 1 to 26 weeks postnatal in Coquerel's sifaka (Propithecus coquereli) in northwestern Madagascar",2016,"American Journal of Primatology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ajp.22529","https://scholar.google.com/scholar?cites=6852100109475695547&as_sdt=2005&sciodt=0,5&hl=en",18,"2022-06-03 12:54:03","","10.1002/ajp.22529","","",,,,,5,0.83,3,2,6,"… We hypothesized that Coquerel's sifaka (Propithecus coquereli) mothers spend more time … coquereli postnatal care strategies demonstrates how a species with a “slow” life history …","https://www.researchgate.net/profile/Abigail-Ross/publication/291357049_Infant_Transport_and_Mother-Infant_Contact_From_1_to_26_Weeks_Postnatal_in_Coquerel's_Sifaka_Propithecus_coquereli_in_Northwestern_Madagascar/links/59e63b6baca2721fc227a1dc/Infant-Transport-and-Mother-Infant-Contact-From-1-to-26-Weeks-Postnatal-in-Coquerels-Sifaka-Propithecus-coquereli-in-Northwestern-Madagascar.pdf","https://scholar.google.com/scholar?q=related:u8u23r6MF18J:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
18,"CP Groves, KM Helgen","Craniodental characters in the taxonomy of Propithecus",2007,"International Journal of Primatology","Springer","https://link.springer.com/article/10.1007/s10764-007-9226-5","https://scholar.google.com/scholar?cites=10017618525890569658&as_sdt=2005&sciodt=0,5&hl=en",19,"2022-06-03 12:54:03","","10.1007/s10764-007-9226-5","","",,,,,18,1.20,9,2,15,"… coquereli. Visually, Propithecus coquereli differs from the other 3 in its shallow snout, which drops down sharply from the swollen interorbital region; in the others, the interorbital pillar …","https://repository.si.edu/bitstream/handle/10088/8317/vz_Groves_and_Helgen_2007_International_Journal_of_Primatology_Propithecus.pdf","https://scholar.google.com/scholar?q=related:umUUQ_m6BYsJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
45,"KS Kubzdela, AF Richard, ...","Social relations in semi‐free‐ranging sifakas (Propithecus verreauxi coquereli) and the question of female dominance",1992,"American Journal of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ajp.1350280206","https://scholar.google.com/scholar?cites=11661078256101292689&as_sdt=2005&sciodt=0,5&hl=en",20,"2022-06-03 12:54:03","","10.1002/ajp.1350280206","","",,,,,45,1.50,15,3,30,"Female social dominance over males is thought to characterize most of the prosimian primates of Madagascar. It has been reported in Propithecus verreauxi coquereli in the wild but …","","https://scholar.google.com/scholar?q=related:kfryEOR41KEJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
3,"JW Young, K Jankord, MM Saunders, ...","Getting into Shape: Limb Bone Strength in Perinatal Lemur catta and Propithecus coquereli",2020,"The Anatomical …","Wiley Online Library","https://anatomypubs.onlinelibrary.wiley.com/doi/abs/10.1002/ar.24045","https://scholar.google.com/scholar?cites=4948623581656957076&as_sdt=2005&sciodt=0,5&hl=en",21,"2022-06-03 12:54:03","","10.1002/ar.24045","","",,,,,3,1.50,1,4,2,"… have less robust femora than perinatal Propithecus coquereli, a closely related species specialized … coquereli, indicating little differentiation in postcranial maturity at birth despite known …","https://anatomypubs.onlinelibrary.wiley.com/doi/am-pdf/10.1002/ar.24045","https://scholar.google.com/scholar?q=related:lMDIt-0KrUQJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
